"","expenditure_category","subcategory","category","fiscal_year","Categorical.Citywide.Exp","FY_CPI","Adjusted.Categorical.Citywide.Exp","human_services"
"1","General Government","Mayoralty","Mayoralty",2023,163387,299.6855,168776.523979305,FALSE
"2","General Government","Board of Elections","Board of Elections",2023,258009,299.6855,266519.748666519,FALSE
"3","General Government","Campaign Finance Board","Campaign Finance Board",2023,59944,299.6855,61921.327605106,FALSE
"4","General Government","Office of the Actuary","Office of the Actuary",2023,6692,299.6855,6912.74396659164,FALSE
"5","General Government","Borough President-Manhattan","Borough President-Manhattan",2023,5572,299.6855,5755.79936967254,FALSE
"6","General Government","Borough President-Bronx","Borough President-Bronx",2023,6304,299.6855,6511.94530265896,FALSE
"7","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2023,7751,299.6855,8006.67640242855,FALSE
"8","General Government","Borough President-Queens","Borough President-Queens",2023,6712,299.6855,6933.40369153663,FALSE
"9","General Government","Borough President-Staten Island","Borough President-Staten Island",2023,5382,299.6855,5559.53198269519,FALSE
"10","General Government","Office of the Comptroller","Office of the Comptroller",2023,92450,299.6855,95499.5785581885,FALSE
"11","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2023,5949,299.6855,6145.23518488549,FALSE
"12","General Government","Law Department","Law Department",2023,235485,299.6855,243252.766433478,FALSE
"13","General Government","Department of City Planning","Department of City Planning",2023,39706,299.6855,41015.7519332767,FALSE
"14","General Government","Department of Investigation","Department of Investigation",2023,40386,299.6855,41718.1825814062,FALSE
"15","General Government","Department of Veterans Service","Department of Veterans Service",2023,5531,299.6855,5713.44693353532,FALSE
"16","General Government","Public Advocate","Public Advocate",2023,5083,299.6855,5250.66909476768,FALSE
"17","General Government","City Council","City Council",2023,84760,299.6855,87555.9143168422,FALSE
"18","General Government","City Clerk","City Clerk",2023,5940,299.6855,6135.93830866025,FALSE
"19","General Government","Financial Information Services Agency","Financial Information Services Agency",2023,118537,299.6855,122447.090790178,FALSE
"20","General Government","Office of Payroll Administration","Office of Payroll Administration",2023,16055,299.6855,16584.5941995859,FALSE
"21","General Government","Independent Budget Office","Independent Budget Office",2023,5203,299.6855,5374.62744443759,FALSE
"22","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2023,1267,299.6855,1308.79357526474,FALSE
"23","General Government","Civil Service Commission","Civil Service Commission",2023,987,299.6855,1019.55742603496,FALSE
"24","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2023,7204,299.6855,7441.63292518323,FALSE
"25","General Government","Districting Commission","Districting Commission",2023,1026,299.6855,1059.84388967768,FALSE
"26","General Government","Commission on Human Rights","Commission on Human Rights",2023,10996,299.6855,11358.7167747522,TRUE
"27","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2023,964930,299.6855,996759.41955817,TRUE
"28","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2023,2608,299.6855,2694.02813282591,FALSE
"29","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2023,2385,299.6855,2463.67219968934,FALSE
"30","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2023,242,299.6855,249.982671834306,FALSE
"31","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2023,313,299.6855,323.324695389,FALSE
"32","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2023,413,299.6855,426.623320113919,FALSE
"33","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2023,366,299.6855,378.072966493207,FALSE
"34","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2023,398,299.6855,411.128526405182,FALSE
"35","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2023,419,299.6855,432.821237597415,FALSE
"36","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2023,350,299.6855,361.54518653722,FALSE
"37","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2023,418,299.6855,431.788251350165,FALSE
"38","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2023,407,299.6855,420.425402630424,FALSE
"39","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2023,379,299.6855,391.501787707447,FALSE
"40","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2023,366,299.6855,378.072966493207,FALSE
"41","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2023,427,299.6855,441.085127575408,FALSE
"42","General Government","Bronx Community Board #1","Bronx Community Board #1",2023,229,299.6855,236.553850620067,FALSE
"43","General Government","Bronx Community Board #2","Bronx Community Board #2",2023,305,299.6855,315.060805411006,FALSE
"44","General Government","Bronx Community Board #3","Bronx Community Board #3",2023,161,299.6855,166.310785807121,FALSE
"45","General Government","Bronx Community Board #4","Bronx Community Board #4",2023,223,299.6855,230.355933136572,FALSE
"46","General Government","Bronx Community Board #5","Bronx Community Board #5",2023,197,299.6855,203.498290708092,FALSE
"47","General Government","Bronx Community Board #6","Bronx Community Board #6",2023,258,299.6855,266.510451790294,FALSE
"48","General Government","Bronx Community Board #7","Bronx Community Board #7",2023,248,299.6855,256.180589317802,FALSE
"49","General Government","Bronx Community Board #8","Bronx Community Board #8",2023,264,299.6855,272.708369273789,FALSE
"50","General Government","Bronx Community Board #9","Bronx Community Board #9",2023,339,299.6855,350.182337817479,FALSE
"51","General Government","Bronx Community Board #10","Bronx Community Board #10",2023,330,299.6855,340.885461592236,FALSE
"52","General Government","Bronx Community Board #11","Bronx Community Board #11",2023,325,299.6855,335.72053035599,FALSE
"53","General Government","Bronx Community Board #12","Bronx Community Board #12",2023,280,299.6855,289.236149229776,FALSE
"54","General Government","Queens Community Board #1","Queens Community Board #1",2023,302,299.6855,311.961846669258,FALSE
"55","General Government","Queens Community Board #2","Queens Community Board #2",2023,339,299.6855,350.182337817479,FALSE
"56","General Government","Queens Community Board #3","Queens Community Board #3",2023,345,299.6855,356.380255300974,FALSE
"57","General Government","Queens Community Board #4","Queens Community Board #4",2023,317,299.6855,327.456640377996,FALSE
"58","General Government","Queens Community Board #5","Queens Community Board #5",2023,312,299.6855,322.29170914175,FALSE
"59","General Government","Queens Community Board #6","Queens Community Board #6",2023,338,299.6855,349.149351570229,FALSE
"60","General Government","Queens Community Board #7","Queens Community Board #7",2023,339,299.6855,350.182337817479,FALSE
"61","General Government","Queens Community Board #8","Queens Community Board #8",2023,347,299.6855,358.446227795472,FALSE
"62","General Government","Queens Community Board #9","Queens Community Board #9",2023,228,299.6855,235.520864372818,FALSE
"63","General Government","Queens Community Board #10","Queens Community Board #10",2023,233,299.6855,240.685795609064,FALSE
"64","General Government","Queens Community Board #11","Queens Community Board #11",2023,349,299.6855,360.512200289971,FALSE
"65","General Government","Queens Community Board #12","Queens Community Board #12",2023,303,299.6855,312.994832916508,FALSE
"66","General Government","Queens Community Board #13","Queens Community Board #13",2023,232,299.6855,239.652809361814,FALSE
"67","General Government","Queens Community Board #14","Queens Community Board #14",2023,289,299.6855,298.533025455019,FALSE
"68","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2023,338,299.6855,349.149351570229,FALSE
"69","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2023,179,299.6855,184.904538257607,FALSE
"70","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2023,267,299.6855,275.807328015536,FALSE
"71","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2023,276,299.6855,285.104204240779,FALSE
"72","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2023,206,299.6855,212.795166933335,FALSE
"73","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2023,212,299.6855,218.99308441683,FALSE
"74","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2023,275,299.6855,284.07121799353,FALSE
"75","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2023,324,299.6855,334.687544108741,FALSE
"76","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2023,355,299.6855,366.710117773466,FALSE
"77","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2023,360,299.6855,371.875049009712,FALSE
"78","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2023,295,299.6855,304.730942938514,FALSE
"79","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2023,336,299.6855,347.083379075731,FALSE
"80","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2023,286,299.6855,295.434066713271,FALSE
"81","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2023,348,299.6855,359.479214042721,FALSE
"82","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2023,160,299.6855,165.277799559872,FALSE
"83","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2023,288,299.6855,297.500039207769,FALSE
"84","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2023,367,299.6855,379.105952740456,FALSE
"85","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2023,229,299.6855,236.553850620067,FALSE
"86","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2023,289,299.6855,298.533025455019,FALSE
"87","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2023,274,299.6855,283.038231746281,FALSE
"88","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2023,356,299.6855,367.743104020715,FALSE
"89","General Government","Department of Small Business Services","Department of Small Business Services",2023,344390,299.6855,355750.133690152,TRUE
"90","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2023,55676,299.6855,57512.5423018464,FALSE
"91","General Government","Business Integrity Commission","Business Integrity Commission",2023,8977,299.6855,9273.11754155606,FALSE
"92","General Government","Department of Finance","Department of Finance",2023,329921,299.6855,340803.855678703,FALSE
"93","General Government","Department of Design and Construction","Department of Design and Construction",2023,65887,299.6855,68060.364872508,FALSE
"94","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2023,640713,299.6855,661847.717433776,FALSE
"95","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2023,679624,299.6855,702042.24530049,FALSE
"96","General Government","Department of Records and Information Services","Department of Records and Information Services",2023,14233,299.6855,14702.4932570979,FALSE
"97","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2023,64951,299.6855,67093.4897450828,FALSE
"98","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2023,NA,299.6855,NA,FALSE
"99","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2023,176327,299.6855,182143.36601871,FALSE
"100","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2023,23685,299.6855,24466.2792660973,FALSE
"101","Public Safety and Judicial","Police Department","Police Department",2023,6053506,299.6855,6253188.44564051,FALSE
"102","Public Safety and Judicial","Fire Department","Fire Department",2023,2522972,299.6855,2606195.37819481,FALSE
"103","Public Safety and Judicial","Department of Correction","Department of Correction",2023,1300969,299.6855,1343883.08509754,FALSE
"104","Public Safety and Judicial","Board of Correction","Board of Correction",2023,3016,299.6855,3115.48652170359,FALSE
"105","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2023,NA,299.6855,NA,FALSE
"106","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2023,160467,299.6855,165760.204137337,FALSE
"107","Public Safety and Judicial","Department of Probation","Department of Probation",2023,104295,299.6855,107735.300656855,FALSE
"108","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2023,156944,299.6855,162120.993588278,FALSE
"109","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2023,106152,299.6855,109653.556117997,FALSE
"110","Public Safety and Judicial","District Attorney Kings County","District Attorney Kings County",2023,135451,299.6855,139919.020176151,FALSE
"111","Public Safety and Judicial","District Attorney Queens County","District Attorney Queens County",2023,89132,299.6855,92072.1301898157,FALSE
"112","Public Safety and Judicial","District Attorney Richmond County","District Attorney Richmond County",2023,23144,299.6855,23907.4337063355,FALSE
"113","Public Safety and Judicial","Office of Prosecutor -- Special Narcotics","Office of Prosecutor -- Special Narcotics",2023,26434,299.6855,27305.9584597853,FALSE
"114","Public Safety and Judicial","Public Administrator - New York County","Public Administrator-New York County",2023,1184,299.6855,1223.05571674305,FALSE
"115","Public Safety and Judicial","Public Administrator- Bronx County","Public Administrator-Bronx County",2023,628,299.6855,648.715363272497,FALSE
"116","Public Safety and Judicial","Public Administrator-Kings County","Public Administrator-Kings County",2023,1005,299.6855,1038.15117848545,FALSE
"117","Public Safety and Judicial","Public Administrator-Queens County","Public Administrator-Queens County",2023,589,299.6855,608.428899629779,FALSE
"118","Public Safety and Judicial","Public Administrator-Richmond County","Public Administrator-Richmond County",2023,600,299.6855,619.79174834952,FALSE
"119","Public Safety and Judicial","Miscellaneous-Contributions Legal Aid","Miscellaneous-Contributions Legal Aid",2023,533830,299.6855,551439.04836904,FALSE
"120","Public Safety and Judicial","Miscellaneous-Criminal Justice Programs","Miscellaneous-Criminal Justice Programs",2023,556605,299.6855,574965.310150141,FALSE
"121","Public Safety and Judicial","Miscellaneous-Other","Miscellaneous-Other",2023,92829,299.6855,95891.080345896,FALSE
"122","Education","Department of Education","Department of Education",2023,30975740,299.6855,31997513.4183669,FALSE
"123","City University","City University of New York-Community Colleges","City University of New York-Community Colleges",2023,1102301,299.6855,1138661.77332904,FALSE
"124","City University","Hunter Campus Schools","Hunter Campus Schools",2023,23602,299.6855,24380.5414075756,FALSE
"125","City University","Educational Aid","Educational Aid",2023,NA,299.6855,NA,FALSE
"126","Social Services","Administration for Children's Services","Administration for Children's Services",2023,2975963,299.6855,3074128.85132247,TRUE
"127","Social Services","Department of Social Services","Department of Social Services",2023,11112520,299.6855,11479080.3322817,TRUE
"128","Social Services","Department of Homeless Services","Department of Homeless Services",2023,3524561,299.6855,3640823.04059089,TRUE
"129","Social Services","Department for the Aging","Department for the Aging",2023,492121,299.6855,508354.224982523,TRUE
"130","Environmental Protection","Department of Environmental Protection","Department of Environmental Protection",2023,1467992,299.6855,1516415.54707185,FALSE
"131","Environmental Protection","Department of Sanitation","Department of Sanitation",2023,1901899,299.6855,1964635.51065701,FALSE
"132","Transportation Services","Department of Transportation","Department of Transportation",2023,1064905,299.6855,1100032.21962691,FALSE
"133","Transportation Services","Miscellaneous-Payments to Transit Authority","Miscellaneous-Payments to Transit Authority",2023,1085108,299.6855,1120901.64078008,FALSE
"134","Transportation Services","Miscellaneous-Payments to Private Bus Companies","Miscellaneous-Payments to Private Bus Companies",2023,3573,299.6855,3690.85986142139,FALSE
"135","Parks, Recreation, and Cultural Activities","Department of Cultural Affairs","Department of Cultural Affairs",2023,243933,299.6855,251979.434250239,FALSE
"136","Parks, Recreation, and Cultural Activities","Department of Parks and Recreation","Department of Parks and Recreation",2023,500297,299.6855,516799.920540033,FALSE
"137","Housing","Housing Preservation and Development","Housing Preservation and Development",2023,1299418,299.6855,1342280.92342806,TRUE
"138","Housing","Department of Buildings","Department of Buildings",2023,190556,299.6855,196841.727330818,FALSE
"139","Housing","Miscellaneous-Payments to Housing Authority","Miscellaneous-Payments to Housing Authority",2023,1135,299.6855,1172.43939062784,TRUE
"140","Health","Department of Health and Mental Hygiene","Department of Health and Mental Hygiene",2023,2298928,299.6855,2374761.00741611,TRUE
"141","Health","New York City Health and Hospitals Corporation","New York City Health and Hospitals Corporation",2023,1784814,299.6855,1843688.31589783,FALSE
"142","Libraries","New York Research Libraries","New York Research Libraries",2023,32989,299.6855,34077.1833105038,FALSE
"143","Libraries","New York Public Library","New York Public Library",2023,171242,299.6855,176890.630951447,FALSE
"144","Libraries","Brooklyn Public Library","Brooklyn Public Library",2023,128347,299.6855,132580.685875693,FALSE
"145","Libraries","Queens Borough Public Library","Queens Borough Public Library",2023,133613,299.6855,138020.391453707,FALSE
"146","Pensions","Pension Contributions","Pension Contributions",2023,8988063,299.6855,9284545.46840938,FALSE
"147","Judgments and Claims","Judgments and Claims","Judgments and Claims",2023,1208575,299.6855,1248441.3537692,FALSE
"148","Benefit Payments","Benefit Payments","Benefit Payments",2023,7774282,299.6855,8030726.388237,FALSE
"149","Lease Payments","Lease Payments","Lease Payments",2023,81977,299.6855,84681.1135907476,FALSE
"150","Other","Miscellaneous","Miscellaneous",2023,3144392,299.6855,3248113.69196041,FALSE
"151","Transfers","General Debt Service Fund","Debt Service",2023,3584175,299.6855,3702403.4827344,FALSE
"152","Transfers","Nonmajor Debt Service Funds","Debt Service-Hudson Yards Infrastructure Corporation",2023,NA,299.6855,NA,FALSE
"153","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Building Aid Revenue Bonds",2023,972862,299.6855,1004953.06647135,FALSE
"154","Transfers","Nonmajor Debt Service Funds","Miscellaneous -Future Tax Secured",2023,3448858,299.6855,3562622.88271538,FALSE
"155","General Government","Mayoralty","Mayoralty",2022,148152,282.025,162622.33061608,FALSE
"156","General Government","Board of Elections","Board of Elections",2022,220099,282.025,241596.551826966,FALSE
"157","General Government","Campaign Finance Board","Campaign Finance Board",2022,45075,282.025,49477.5740625831,FALSE
"158","General Government","Office of the Actuary","Office of the Actuary",2022,6658,282.025,7308.30145554472,FALSE
"159","General Government","Borough President-Manhattan","Borough President-Manhattan",2022,5560,282.025,6103.05738852939,FALSE
"160","General Government","Borough President-Bronx","Borough President-Bronx",2022,5378,282.025,5903.28104955235,FALSE
"161","General Government","Borough President-Brooklyn","Borough President-Brooklyn",2022,8596,282.025,9435.59016399255,FALSE
"162","General Government","Borough President-Queens","Borough President-Queens",2022,7076,282.025,7767.12843187661,FALSE
"163","General Government","Borough President-Staten Island","Borough President-Staten Island",2022,5608,282.025,6155.7456537541,FALSE
"164","General Government","Office of the Comptroller","Office of the Comptroller",2022,81962,282.025,89967.4082155837,FALSE
"165","General Government","Office of Administrative Tax Appeals","Office of Administrative Tax Appeals",2022,5938,282.025,6517.97747717401,FALSE
"166","General Government","Law Department","Law Department",2022,254189,282.025,279016.196858435,FALSE
"167","General Government","Department of City Planning","Department of City Planning",2022,36239,282.025,39778.542572467,FALSE
"168","General Government","Department of Investigation","Department of Investigation",2022,43422,282.025,47663.121928907,FALSE
"169","General Government","Department of Veterans Service","Department of Veterans Service",2022,5717,282.025,6275.39192270189,FALSE
"170","General Government","Public Advocate","Public Advocate",2022,4728,282.025,5189.79412463434,FALSE
"171","General Government","City Council","City Council",2022,73952,282.025,81175.0539562096,FALSE
"172","General Government","City Clerk","City Clerk",2022,5740,282.025,6300.63838312206,FALSE
"173","General Government","Financial Information Services Agency","Financial Information Services Agency",2022,114076,282.025,125218.052995302,FALSE
"174","General Government","Office of Payroll Administration","Office of Payroll Administration",2022,15088,282.025,16561.6780356351,FALSE
"175","General Government","Independent Budget Office","Independent Budget Office",2022,4834,282.025,5306.14737700559,FALSE
"176","General Government","Equal Employment Practices Commission","Equal Employment Practices Commission",2022,1059,282.025,1162.43485152026,FALSE
"177","General Government","Civil Service Commission","Civil Service Commission",2022,969,282.025,1063.64435422392,FALSE
"178","General Government","Landmarks Preservation Commission","Landmarks Preservation Commission",2022,6545,282.025,7184.26449782821,FALSE
"179","General Government","Districting Commission","Districting Commission",2022,163,282.025,178.920567325592,FALSE
"180","General Government","Commission on Human Rights","Commission on Human Rights",2022,11177,282.025,12268.6820920131,TRUE
"181","General Government","Department of Youth and Community Development","Department of Youth and Community Development",2022,809889,282.025,888992.634053719,TRUE
"182","General Government","Conflicts of Interest Board","Conflicts of Interest Board",2022,2464,282.025,2704.66428153533,FALSE
"183","General Government","Office of Collective Bargaining","Office of Collective Bargaining",2022,2357,282.025,2587.2133569719,FALSE
"184","General Government","Manhattan Community Board #1","Manhattan Community Board #1",2022,275,282.025,301.859852849925,FALSE
"185","General Government","Manhattan Community Board #2","Manhattan Community Board #2",2022,320,282.025,351.255101498094,FALSE
"186","General Government","Manhattan Community Board #3","Manhattan Community Board #3",2022,394,282.025,432.482843719528,FALSE
"187","General Government","Manhattan Community Board #4","Manhattan Community Board #4",2022,372,282.025,408.334055491535,FALSE
"188","General Government","Manhattan Community Board #5","Manhattan Community Board #5",2022,326,282.025,357.841134651183,FALSE
"189","General Government","Manhattan Community Board #6","Manhattan Community Board #6",2022,391,282.025,429.189827142984,FALSE
"190","General Government","Manhattan Community Board #7","Manhattan Community Board #7",2022,349,282.025,383.087595071359,FALSE
"191","General Government","Manhattan Community Board #8","Manhattan Community Board #8",2022,396,282.025,434.678188103892,FALSE
"192","General Government","Manhattan Community Board #9","Manhattan Community Board #9",2022,351,282.025,385.282939455722,FALSE
"193","General Government","Manhattan Community Board #10","Manhattan Community Board #10",2022,325,282.025,356.743462459002,FALSE
"194","General Government","Manhattan Community Board #11","Manhattan Community Board #11",2022,307,282.025,336.985362999734,FALSE
"195","General Government","Manhattan Community Board #12","Manhattan Community Board #12",2022,401,282.025,440.166549064799,FALSE
"196","General Government","Bronx Community Board #1","Bronx Community Board #1",2022,290,282.025,318.324935732648,FALSE
"197","General Government","Bronx Community Board #2","Bronx Community Board #2",2022,293,282.025,321.617952309193,FALSE
"198","General Government","Bronx Community Board #3","Bronx Community Board #3",2022,290,282.025,318.324935732648,FALSE
"199","General Government","Bronx Community Board #4","Bronx Community Board #4",2022,256,282.025,281.004081198475,FALSE
"200","General Government","Bronx Community Board #5","Bronx Community Board #5",2022,183,282.025,200.874011169223,FALSE
"201","General Government","Bronx Community Board #6","Bronx Community Board #6",2022,177,282.025,194.287978016133,FALSE
"202","General Government","Bronx Community Board #7","Bronx Community Board #7",2022,312,282.025,342.473723960642,FALSE
"203","General Government","Bronx Community Board #8","Bronx Community Board #8",2022,285,282.025,312.83657477174,FALSE
"204","General Government","Bronx Community Board #9","Bronx Community Board #9",2022,304,282.025,333.692346423189,FALSE
"205","General Government","Bronx Community Board #10","Bronx Community Board #10",2022,304,282.025,333.692346423189,FALSE
"206","General Government","Bronx Community Board #11","Bronx Community Board #11",2022,301,282.025,330.399329846645,FALSE
"207","General Government","Bronx Community Board #12","Bronx Community Board #12",2022,271,282.025,297.469164081199,FALSE
"208","General Government","Queens Community Board #1","Queens Community Board #1",2022,289,282.025,317.227263540466,FALSE
"209","General Government","Queens Community Board #2","Queens Community Board #2",2022,310,282.025,340.278379576279,FALSE
"210","General Government","Queens Community Board #3","Queens Community Board #3",2022,317,282.025,347.96208492155,FALSE
"211","General Government","Queens Community Board #4","Queens Community Board #4",2022,299,282.025,328.203985462282,FALSE
"212","General Government","Queens Community Board #5","Queens Community Board #5",2022,282,282.025,309.543558195196,FALSE
"213","General Government","Queens Community Board #6","Queens Community Board #6",2022,317,282.025,347.96208492155,FALSE
"214","General Government","Queens Community Board #7","Queens Community Board #7",2022,349,282.025,383.087595071359,FALSE
"215","General Government","Queens Community Board #8","Queens Community Board #8",2022,335,282.025,367.720184380817,FALSE
"216","General Government","Queens Community Board #9","Queens Community Board #9",2022,190,282.025,208.557716514493,FALSE
"217","General Government","Queens Community Board #10","Queens Community Board #10",2022,299,282.025,328.203985462282,FALSE
"218","General Government","Queens Community Board #11","Queens Community Board #11",2022,338,282.025,371.013200957362,FALSE
"219","General Government","Queens Community Board #12","Queens Community Board #12",2022,306,282.025,335.887690807553,FALSE
"220","General Government","Queens Community Board #13","Queens Community Board #13",2022,287,282.025,315.031919156103,FALSE
"221","General Government","Queens Community Board #14","Queens Community Board #14",2022,268,282.025,294.176147504654,FALSE
"222","General Government","Brooklyn Community Board #1","Brooklyn Community Board #1",2022,368,282.025,403.943366722808,FALSE
"223","General Government","Brooklyn Community Board #2","Brooklyn Community Board #2",2022,199,282.025,218.436766244127,FALSE
"224","General Government","Brooklyn Community Board #3","Brooklyn Community Board #3",2022,254,282.025,278.808736814112,FALSE
"225","General Government","Brooklyn Community Board #4","Brooklyn Community Board #4",2022,274,282.025,300.762180657743,FALSE
"226","General Government","Brooklyn Community Board #5","Brooklyn Community Board #5",2022,246,282.025,270.02735927666,FALSE
"227","General Government","Brooklyn Community Board #6","Brooklyn Community Board #6",2022,241,282.025,264.538998315752,FALSE
"228","General Government","Brooklyn Community Board #7","Brooklyn Community Board #7",2022,260,282.025,285.394769967202,FALSE
"229","General Government","Brooklyn Community Board #8","Brooklyn Community Board #8",2022,301,282.025,330.399329846645,FALSE
"230","General Government","Brooklyn Community Board #9","Brooklyn Community Board #9",2022,351,282.025,385.282939455722,FALSE
"231","General Government","Brooklyn Community Board #10","Brooklyn Community Board #10",2022,347,282.025,380.892250686996,FALSE
"232","General Government","Brooklyn Community Board #11","Brooklyn Community Board #11",2022,289,282.025,317.227263540466,FALSE
"233","General Government","Brooklyn Community Board #12","Brooklyn Community Board #12",2022,345,282.025,378.696906302633,FALSE
"234","General Government","Brooklyn Community Board #13","Brooklyn Community Board #13",2022,302,282.025,331.497002038826,FALSE
"235","General Government","Brooklyn Community Board #14","Brooklyn Community Board #14",2022,358,282.025,392.966644800993,FALSE
"236","General Government","Brooklyn Community Board #15","Brooklyn Community Board #15",2022,173,282.025,189.897289247407,FALSE
"237","General Government","Brooklyn Community Board #16","Brooklyn Community Board #16",2022,228,282.025,250.269259817392,FALSE
"238","General Government","Brooklyn Community Board #17","Brooklyn Community Board #17",2022,322,282.025,353.450445882457,FALSE
"239","General Government","Brooklyn Community Board #18","Brooklyn Community Board #18",2022,222,282.025,243.683226664303,FALSE
"240","General Government","Staten Island Community Board #1","Staten Island Community Board #1",2022,261,282.025,286.492442159383,FALSE
"241","General Government","Staten Island Community Board #2","Staten Island Community Board #2",2022,196,282.025,215.143749667583,FALSE
"242","General Government","Staten Island Community Board #3","Staten Island Community Board #3",2022,329,282.025,361.134151227728,FALSE
"243","General Government","Department of Small Business Services","Department of Small Business Services",2022,491713,282.025,539739.686634164,TRUE
"244","General Government","Office of Administrative Trials and Hearings","Office of Administrative Trials and Hearings",2022,44650,282.025,49011.063380906,FALSE
"245","General Government","Business Integrity Commission","Business Integrity Commission",2022,8739,282.025,9592.55728747452,FALSE
"246","General Government","Department of Finance","Department of Finance",2022,295955,282.025,324861.573637089,FALSE
"247","General Government","Department of Design and Construction","Department of Design and Construction",2022,44326,282.025,48655.4175906391,FALSE
"248","General Government","Department of Citywide Administrative Services","Department of Citywide Administrative Services",2022,626184,282.025,687344.763989008,FALSE
"249","General Government","Department of Information Technology and Telecommunications","Department of Information Technology and Telecommunications",2022,695614,282.025,763556.144292173,FALSE
"250","General Government","Department of Records and Information Services","Department of Records and Information Services",2022,12438,282.025,13652.846726354,FALSE
"251","General Government","Department of Consumer & Worker Protection","Department of Consumer & Worker Protection",2022,55751,282.025,61196.3223863133,FALSE
"252","General Government","Miscellaneous--Technology Development Corporation","Miscellaneous--Technology Development Corporation",2022,NA,282.025,NA,FALSE
"253","Public Safety and Judicial","Department of Emergency Management","Department of Emergency Management",2022,674205,282.025,740056.080329758,FALSE
"254","Public Safety and Judicial","Civilian Complaint Review Board","Civilian Complaint Review Board",2022,21536,282.025,23639.4683308217,FALSE
"255","Public Safety and Judicial","Police Department","Police Department",2022,5617677,282.025,6166367.82755784,FALSE
"256","Public Safety and Judicial","Fire Department","Fire Department",2022,2475973,282.025,2717806.71069231,FALSE
"257","Public Safety and Judicial","Department of Correction","Department of Correction",2022,1358510,282.025,1491198.64980055,FALSE
"258","Public Safety and Judicial","Board of Correction","Board of Correction",2022,2228,282.025,2445.61364418048,FALSE
"259","Public Safety and Judicial","Department of Juvenile Justice","Department of Juvenile Justice",2022,NA,282.025,NA,FALSE
"260","Public Safety and Judicial","NYC Taxi and Limousine Commission","NYC Taxi and Limousine Commission",2022,64901,282.025,71240.0229447744,FALSE
"261","Public Safety and Judicial","Department of Probation","Department of Probation",2022,99417,282.025,109127.276330113,FALSE
"262","Public Safety and Judicial","District Attorney New York County","District Attorney New York County",2022,152403,282.025,167288.535105044,FALSE
"263","Public Safety and Judicial","District Attorney Bronx County","District Attorney Bronx County",2022,97220,282.025,106715.69052389,FALSE
